MS: Mississippi, Lifetables (period 5x10), Both sexes Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.03967	0.03839	0.16	100000	3839	96768	6770349	67.70
1960-1969	1-4	0.00162	0.00646	1.52	96161	622	383105	6673581	69.40
1960-1969	5-9	0.00062	0.00310	2.31	95540	296	476902	6290476	65.84
1960-1969	10-14	0.00059	0.00293	2.76	95244	279	475593	5813574	61.04
1960-1969	15-19	0.00128	0.00638	2.82	94964	606	473504	5337981	56.21
1960-1969	20-24	0.00179	0.00892	2.48	94358	842	469665	4864477	51.55
1960-1969	25-29	0.00202	0.01007	2.58	93516	942	465296	4394811	47.00
1960-1969	30-34	0.00250	0.01242	2.61	92574	1150	460118	3929515	42.45
1960-1969	35-39	0.00342	0.01696	2.62	91424	1550	453432	3469397	37.95
1960-1969	40-44	0.00488	0.02410	2.62	89874	2166	444215	3015965	33.56
1960-1969	45-49	0.00706	0.03473	2.6	87708	3046	431227	2571749	29.32
1960-1969	50-54	0.01037	0.05063	2.63	84662	4286	413152	2140523	25.28
1960-1969	55-59	0.01469	0.07098	2.64	80376	5705	388406	1727370	21.49
1960-1969	60-64	0.02135	0.10163	2.64	74671	7588	355412	1338964	17.93
1960-1969	65-69	0.03237	0.14986	2.53	67082	10053	310612	983552	14.66
1960-1969	70-74	0.04694	0.21076	2.58	57029	12019	256073	672940	11.80
1960-1969	75-79	0.06976	0.29709	2.51	45010	13372	191693	416867	9.26
1960-1969	80-84	0.10650	0.41946	2.47	31638	13271	124608	225174	7.12
1960-1969	85-89	0.15870	0.55344	2.27	18367	10165	64052	100567	5.48
1960-1969	90-94	0.20157	0.64503	2.21	8202	5291	26247	36515	4.45
1960-1969	95-99	0.26560	0.74725	2.07	2911	2176	8191	10268	3.53
1960-1969	100-104	0.34169	0.83208	1.92	736	612	1792	2077	2.82
1960-1969	105-109	0.42748	0.89470	1.75	124	111	259	285	2.30
1960-1969	110+	0.49898	1.00000	2	13	13	26	26	2.00
1970-1979	0	0.02412	0.02362	0.12	100000	2362	97910	7011891	70.12
1970-1979	1-4	0.00104	0.00417	1.57	97638	407	389562	6913981	70.81
1970-1979	5-9	0.00051	0.00256	2.3	97231	249	485486	6524419	67.10
1970-1979	10-14	0.00051	0.00255	2.74	96983	247	484354	6038933	62.27
1970-1979	15-19	0.00124	0.00620	2.75	96735	600	482331	5554579	57.42
1970-1979	20-24	0.00166	0.00828	2.54	96136	796	478718	5072248	52.76
