DC: Washington DC, Lifetables (period 5x5), Males Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.04076	0.03940	0.15	100000	3940	96668	6249000	62.49
1960-1964	1-4	0.00111	0.00442	1.43	96060	425	383146	6152332	64.05
1960-1964	5-9	0.00059	0.00293	2.44	95635	280	477459	5769186	60.32
1960-1964	10-14	0.00050	0.00248	2.69	95355	237	476228	5291727	55.49
1960-1964	15-19	0.00099	0.00494	2.77	95118	470	474543	4815499	50.63
1960-1964	20-24	0.00179	0.00891	2.46	94648	844	471096	4340956	45.86
1960-1964	25-29	0.00228	0.01135	2.55	93804	1065	466416	3869860	41.25
1960-1964	30-34	0.00333	0.01654	2.73	92740	1534	460220	3403444	36.70
1960-1964	35-39	0.00602	0.02969	2.72	91206	2708	449864	2943224	32.27
1960-1964	40-44	0.00847	0.04151	2.66	88499	3674	433907	2493360	28.17
1960-1964	45-49	0.01302	0.06319	2.66	84825	5360	411568	2059453	24.28
1960-1964	50-54	0.01966	0.09389	2.6	79465	7461	379440	1647885	20.74
1960-1964	55-59	0.02708	0.12716	2.6	72004	9156	338073	1268446	17.62
1960-1964	60-64	0.03549	0.16350	2.59	62848	10276	289503	930372	14.80
1960-1964	65-69	0.04886	0.21739	2.47	52573	11429	233935	640869	12.19
1960-1964	70-74	0.06432	0.27656	2.47	41144	11379	176913	406935	9.89
1960-1964	75-79	0.09043	0.36594	2.4	29765	10892	120454	230022	7.73
1960-1964	80-84	0.14488	0.52230	2.33	18873	9857	68039	109568	5.81
1960-1964	85-89	0.19392	0.63022	2.22	9016	5682	29300	41529	4.61
1960-1964	90-94	0.25431	0.73122	2.09	3334	2438	9585	12228	3.67
1960-1964	95-99	0.32564	0.81643	1.95	896	732	2246	2643	2.95
1960-1964	100-104	0.40592	0.88108	1.79	164	145	357	396	2.41
1960-1964	105-109	0.49160	0.92555	1.63	20	18	37	39	2.02
1960-1964	110+	0.56148	1.00000	1.78	1	1	3	3	1.78
1965-1969	0	0.03516	0.03412	0.14	100000	3412	97063	6132528	61.33
1965-1969	1-4	0.00120	0.00478	1.57	96588	462	385230	6035465	62.49
1965-1969	5-9	0.00052	0.00262	2.46	96126	252	479992	5650235	58.78
1965-1969	10-14	0.00039	0.00197	2.64	95874	188	478927	5170243	53.93
1965-1969	15-19	0.00151	0.00753	2.78	95686	720	476832	4691316	49.03
1965-1969	20-24	0.00239	0.01189	2.57	94966	1129	472090	4214484	44.38
1965-1969	25-29	0.00326	0.01618	2.55	93837	1518	465462	3742394	39.88
1965-1969	30-34	0.00453	0.02239	2.59	92318	2067	456609	3276931	35.50
1965-1969	35-39	0.00726	0.03567	2.64	90251	3219	443672	2820323	31.25
1965-1969	40-44	0.01110	0.05408	2.63	87031	4707	424007	2376651	27.31
1965-1969	45-49	0.01507	0.07267	2.57	82324	5983	397111	1952644	23.72
1965-1969	50-54	0.02020	0.09627	2.58	76342	7349	363891	1555533	20.38
1965-1969	55-59	0.02848	0.13316	2.56	68992	9187	322529	1191642	17.27
1965-1969	60-64	0.03849	0.17593	2.56	59805	10521	273358	869113	14.53
1965-1969	65-69	0.05106	0.22592	2.45	49284	11134	218075	595756	12.09
1965-1969	70-74	0.06439	0.27687	2.47	38150	10563	164042	377681	9.90
1965-1969	75-79	0.08954	0.36446	2.45	27587	10054	112293	213638	7.74
1965-1969	80-84	0.14607	0.52513	2.32	17533	9207	63032	101345	5.78
1965-1969	85-89	0.19447	0.63114	2.22	8326	5255	27021	38313	4.60
1965-1969	90-94	0.25385	0.73039	2.09	3071	2243	8836	11292	3.68
1965-1969	95-99	0.32381	0.81444	1.95	828	674	2083	2456	2.97
1965-1969	100-104	0.40249	0.87869	1.79	154	135	335	373	2.43
1965-1969	105-109	0.48656	0.92334	1.64	19	17	35	38	2.04
1965-1969	110+	0.55513	1.00000	1.8	1	1	3	3	1.80
1970-1974	0	0.03416	0.03318	0.14	100000	3318	97135	6152064	61.52
1970-1974	1-4	0.00128	0.00512	1.52	96682	495	385502	6054929	62.63
1970-1974	5-9	0.00066	0.00329	2.16	96187	317	480037	5669427	58.94
1970-1974	10-14	0.00063	0.00314	2.71	95870	301	478663	5189390	54.13
