DE: Delaware, Lifetables (period 5x5), Females Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.02085	0.02047	0.11	100000	2047	98181	7310351	73.10
1960-1964	1-4	0.00091	0.00363	1.7	97953	355	390995	7212170	73.63
1960-1964	5-9	0.00039	0.00196	2.23	97598	191	487461	6821174	69.89
1960-1964	10-14	0.00029	0.00146	2.67	97407	143	486703	6333713	65.02
1960-1964	15-19	0.00040	0.00200	2.61	97264	194	485857	5847011	60.11
1960-1964	20-24	0.00054	0.00268	2.19	97070	260	484619	5361154	55.23
1960-1964	25-29	0.00095	0.00475	2.34	96810	460	482829	4876535	50.37
1960-1964	30-34	0.00119	0.00591	2.69	96350	569	480435	4393706	45.60
1960-1964	35-39	0.00179	0.00891	2.59	95781	853	476849	3913270	40.86
1960-1964	40-44	0.00294	0.01458	2.75	94928	1384	471524	3436421	36.20
1960-1964	45-49	0.00446	0.02206	2.68	93543	2064	462930	2964897	31.70
1960-1964	50-54	0.00705	0.03471	2.74	91480	3175	450232	2501967	27.35
1960-1964	55-59	0.01044	0.05097	2.64	88304	4501	430919	2051735	23.23
1960-1964	60-64	0.01562	0.07520	2.54	83804	6302	403536	1620817	19.34
1960-1964	65-69	0.02439	0.11543	2.68	77502	8946	366713	1217281	15.71
1960-1964	70-74	0.04068	0.18511	2.57	68556	12690	311948	850568	12.41
1960-1964	75-79	0.06075	0.26430	2.54	55866	14765	243055	538620	9.64
1960-1964	80-84	0.09923	0.39710	2.49	41101	16321	164482	295565	7.19
1960-1964	85-89	0.15492	0.54977	2.36	24780	13623	87936	131083	5.29
1960-1964	90-94	0.23287	0.70322	2.18	11157	7845	33690	43146	3.87
1960-1964	95-99	0.33357	0.82860	1.96	3311	2744	8225	9456	2.86
1960-1964	100-104	0.45176	0.91085	1.72	568	517	1144	1231	2.17
1960-1964	105-109	0.57613	0.95541	1.5	51	48	84	87	1.72
1960-1964	110+	0.67516	1.00000	1.48	2	2	3	3	1.48
1965-1969	0	0.02001	0.01966	0.11	100000	1966	98248	7364103	73.64
1965-1969	1-4	0.00071	0.00285	1.63	98034	279	391474	7265855	74.12
1965-1969	5-9	0.00041	0.00203	2.36	97754	198	488246	6874381	70.32
1965-1969	10-14	0.00030	0.00151	2.9	97556	147	487469	6386135	65.46
1965-1969	15-19	0.00043	0.00217	2.67	97408	211	486549	5898666	60.56
1965-1969	20-24	0.00068	0.00339	2.42	97197	329	485137	5412117	55.68
1965-1969	25-29	0.00076	0.00381	2.27	96868	369	483333	4926980	50.86
1965-1969	30-34	0.00108	0.00541	2.61	96499	522	481245	4443648	46.05
1965-1969	35-39	0.00184	0.00917	3.05	95977	880	478168	3962402	41.29
1965-1969	40-44	0.00275	0.01365	2.65	95097	1298	472438	3484234	36.64
1965-1969	45-49	0.00479	0.02366	2.66	93798	2219	463788	3011796	32.11
1965-1969	50-54	0.00674	0.03318	2.78	91579	3039	451158	2548008	27.82
1965-1969	55-59	0.01030	0.05026	2.65	88540	4450	432228	2096850	23.68
1965-1969	60-64	0.01507	0.07271	2.57	84090	6114	405623	1664622	19.80
1965-1969	65-69	0.02374	0.11220	2.56	77976	8749	368574	1258999	16.15
1965-1969	70-74	0.03787	0.17354	2.6	69227	12013	317268	890425	12.86
1965-1969	75-79	0.05885	0.25736	2.56	57213	14725	250197	573157	10.02
