SD: South Dakota, Lifetables (period 5x10), Males Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.02707	0.02644	0.12	100000	2644	97667	6798441	67.98
1960-1969	1-4	0.00115	0.00460	1.66	97356	448	388377	6700774	68.83
1960-1969	5-9	0.00054	0.00267	2.39	96908	259	483863	6312397	65.14
1960-1969	10-14	0.00067	0.00335	2.78	96649	324	482527	5828534	60.31
1960-1969	15-19	0.00187	0.00931	2.73	96325	897	479589	5346007	55.50
1960-1969	20-24	0.00267	0.01326	2.47	95428	1265	473944	4866417	51.00
1960-1969	25-29	0.00223	0.01110	2.61	94163	1045	468317	4392473	46.65
1960-1969	30-34	0.00217	0.01080	2.49	93118	1005	463068	3924156	42.14
1960-1969	35-39	0.00275	0.01368	2.67	92113	1260	457628	3461088	37.57
1960-1969	40-44	0.00384	0.01902	2.62	90853	1728	450155	3003460	33.06
1960-1969	45-49	0.00604	0.02980	2.77	89125	2656	439694	2553305	28.65
1960-1969	50-54	0.00997	0.04873	2.67	86469	4214	422530	2113612	24.44
1960-1969	55-59	0.01544	0.07446	2.63	82255	6124	396739	1691081	20.56
1960-1969	60-64	0.02314	0.10971	2.65	76131	8353	360992	1294343	17.00
1960-1969	65-69	0.03430	0.15835	2.58	67778	10733	312872	933351	13.77
1960-1969	70-74	0.05152	0.22903	2.58	57045	13065	253597	620479	10.88
1960-1969	75-79	0.07986	0.33275	2.5	43980	14635	183251	366882	8.34
1960-1969	80-84	0.12286	0.46681	2.43	29345	13699	111502	183631	6.26
1960-1969	85-89	0.18680	0.61963	2.28	15647	9695	51900	72129	4.61
1960-1969	90-94	0.27275	0.76056	2.09	5951	4526	16595	20229	3.40
1960-1969	95-99	0.37904	0.86627	1.87	1425	1234	3257	3634	2.55
1960-1969	100-104	0.49833	0.93096	1.64	191	177	356	377	1.98
1960-1969	105-109	0.61849	0.96466	1.43	13	13	21	21	1.61
1960-1969	110+	0.71168	1.00000	1.41	0	0	1	1	1.41
1970-1979	0	0.01891	0.01859	0.1	100000	1859	98319	6953230	69.53
1970-1979	1-4	0.00105	0.00419	1.57	98141	412	391563	6854911	69.85
